Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3240,Metal Gear Solid 2: Substance,XB,2002,Action,Konami Digital Entertainment,0.38,0.22,0.0,0.03,0.62
3348,The Golden Compass,Wii,2007,Action,Sega,0.26,0.28,0.0,0.07,0.6
3423,Madden NFL 06,X360,2005,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59
3470,NASCAR: Dirt to Daytona,PS2,2002,Racing,Infogrames,0.28,0.22,0.0,0.07,0.58
3503,Madden NFL 2002,XB,2001,Sports,Electronic Arts,0.53,0.02,0.0,0.03,0.58
3717,Def Jam: Fight for NY,XB,2004,Fighting,Electronic Arts,0.43,0.1,0.0,0.02,0.54
3755,NBA Street Vol. 2,GC,2003,Sports,Electronic Arts,0.41,0.11,0.0,0.01,0.54
3882,Fishing Derby,2600,1980,Sports,Activision,0.48,0.03,0.0,0.01,0.51
3954,Wet,X360,2009,Shooter,Bethesda Softworks,0.23,0.21,0.01,0.05,0.5
4153,Karate,2600,1982,Fighting,Ultravision,0.44,0.03,0.0,0.0,0.47
4201,Tiger Woods PGA Tour 07,Wii,2006,Sports,Electronic Arts,0.43,0.0,0.0,0.04,0.47
4234,Circus Atari,2600,1980,Action,Atari,0.43,0.03,0.0,0.0,0.46
4332,The Chronicles of Riddick: Escape from Butcher Bay,XB,2004,Shooter,Vivendi Games,0.32,0.11,0.0,0.02,0.45
4380,Maze Craze: A Game of Cops 'n Robbers,2600,1980,Action,Atari,0.42,0.02,0.0,0.0,0.45
4382,Silent Hill: Homecoming,X360,2008,Action,Konami Digital Entertainment,0.25,0.16,0.0,0.04,0.45
4471,Super Breakout,2600,1980,Puzzle,Atari,0.41,0.03,0.0,0.0,0.44
4474,Robert Ludlum's The Bourne Conspiracy,X360,2008,Action,Vivendi Games,0.26,0.14,0.0,0.04,0.44
4538,NHL Slapshot,Wii,2010,Sports,Electronic Arts,0.4,0.0,0.0,0.02,0.43
4685,TERA,PC,2012,Role-Playing,En Masse Entertainment,0.24,0.12,0.0,0.05,0.41
4793,LEGO Harry Potter: Years 5-7,3DS,2011,Action,Warner Bros. Interactive Entertainment,0.18,0.19,0.0,0.04,0.4
4799,NFL GameDay 2003,PS2,2002,Sports,Sony Computer Entertainment,0.2,0.15,0.0,0.05,0.4
4860,Silent Hill: Homecoming,PS3,2008,Action,Konami Digital Entertainment,0.18,0.15,0.0,0.06,0.4
4867,Harvest Moon: Save the Homeland,PS2,2001,Simulation,Natsume,0.19,0.15,0.0,0.05,0.4
4936,Robert Ludlum's The Bourne Conspiracy,PS3,2008,Action,Vivendi Games,0.18,0.14,0.0,0.06,0.39
5063,Hangman,2600,1980,Puzzle,Atari,0.35,0.02,0.0,0.0,0.38
5080,The Golden Compass,PSP,2007,Action,Sega,0.11,0.16,0.0,0.1,0.38
5164,NBA Live 2003,XB,2002,Sports,Electronic Arts,0.31,0.04,0.0,0.01,0.36
5173,Bejeweled 3,DS,2010,Puzzle,PopCap Games,0.32,0.02,0.0,0.03,0.36
5197,Cubix Robots for Everyone: Clash 'n' Bash,GBA,2002,Action,3DO,0.26,0.1,0.0,0.01,0.36
5198,Tropico 4,X360,2011,Strategy,Kalypso Media,0.2,0.13,0.0,0.03,0.36
5242,Tomb Raider (2013),PC,2013,Action,Square Enix,0.06,0.25,0.0,0.05,0.36
5510,Custom Robo,N64,1999,Role-Playing,Nintendo,0.0,0.0,0.29,0.04,0.33
5620,Final Fantasy XI,PS2,2002,Role-Playing,Square Enix,0.08,0.06,0.15,0.02,0.32
5627,Singularity,X360,2010,Shooter,Activision,0.24,0.05,0.0,0.02,0.32
5659,Dragster,2600,1980,Racing,Activision,0.3,0.02,0.0,0.0,0.32
5671,All-Star Baseball 2005,PS2,2004,Sports,Acclaim Entertainment,0.16,0.12,0.0,0.04,0.32
5771,Star Wars Jedi Knight II: Jedi Outcast,XB,2002,Shooter,Activision,0.23,0.07,0.0,0.01,0.31
5800,Slot Machine,2600,1980,Action,Atari,0.29,0.02,0.0,0.0,0.31
5840,Shrek the Third,DS,2007,Action,Activision,0.26,0.02,0.0,0.02,0.3
5863,The Dukes of Hazzard II: Daisy Dukes It Out,PS,2000,Racing,SouthPeak Games,0.17,0.11,0.0,0.02,0.3
5872,Disgaea 3: Absence of Detention,PSV,2011,Role-Playing,Nippon Ichi Software,0.13,0.06,0.07,0.04,0.3
5903,NBA Live 2003,GC,2002,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.3
5915,Harvest Moon: The Tale of Two Towns,3DS,2011,Simulation,Marvelous Interactive,0.28,0.0,0.0,0.02,0.3
6044,Nicktoons: Battle for Volcano Island,GC,2006,Action,THQ,0.22,0.06,0.0,0.01,0.29
6127,Haven: Call of the King,PS2,2003,Platform,Midway Games,0.14,0.11,0.0,0.04,0.28
6155,Unreal Championship 2: The Liandri Conflict,XB,2005,Shooter,Midway Games,0.22,0.05,0.0,0.01,0.28
6197,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GC,2005,Action,Disney Interactive Studios,0.22,0.06,0.0,0.01,0.28
6213,Pac-Man Fever,GC,2002,Misc,Namco,0.21,0.06,0.0,0.01,0.28
6285,Indy 500,2600,1977,Racing,Atari,0.26,0.01,0.0,0.0,0.27
6316,Gun,X360,2005,Shooter,Activision,0.24,0.01,0.0,0.02,0.27
6318,Flag Capture,2600,1978,Action,Atari,0.25,0.02,0.0,0.0,0.27
6321,LEGO Harry Potter: Years 5-7,PSP,2011,Action,Warner Bros. Interactive Entertainment,0.1,0.11,0.0,0.06,0.27
6403,Rock Revolution,PS3,2008,Misc,Konami,0.25,0.0,0.0,0.02,0.27
6498,Jonah Lomu Rugby Challenge,PS3,2011,Sports,Home Entertainment Suppliers,0.0,0.2,0.0,0.06,0.26
6649,College Hoops 2K6,PS2,2005,Sports,2K Sports,0.12,0.1,0.0,0.03,0.25
6779,Mega Man X Collection,PS2,2006,Misc,Capcom,0.12,0.09,0.0,0.03,0.24
6808,BioShock 2,PC,2010,Shooter,Take-Two Interactive,0.02,0.19,0.0,0.04,0.24
6834,Singularity,PS3,2010,Shooter,Activision,0.17,0.04,0.01,0.03,0.24
6921,Danganronpa: Trigger Happy Havoc,PSP,2010,Misc,Spike Chunsoft,0.0,0.0,0.24,0.0,0.24
6928,DanceDanceRevolution II,Wii,2008,Misc,Konami Digital Entertainment,0.22,0.0,0.0,0.02,0.24
6939,Tony Hawk's Downhill Jam,Wii,2006,Sports,Activision,0.21,0.0,0.0,0.02,0.24
6968,Big Beach Sports 2,Wii,2008,Sports,THQ,0.09,0.12,0.0,0.03,0.23
6970,Jet X20,PS2,2002,Racing,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23
7037,Tribes: Aerial Assault,PS2,2002,Shooter,Sierra Entertainment,0.11,0.09,0.0,0.03,0.23
7183,Move Fitness,PS3,2010,Sports,Sony Computer Entertainment,0.0,0.17,0.0,0.05,0.22
7215,LEGO Harry Potter: Years 5-7,PC,2011,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22
7371,Ghostbusters II,2600,1989,Action,Activision,0.2,0.01,0.0,0.0,0.21
7372,Breakaway IV,2600,1978,Puzzle,Sears,0.2,0.01,0.0,0.0,0.21
7384,Robotech: Battlecry,XB,2002,Shooter,TDK Mediactive,0.16,0.05,0.0,0.01,0.21
7408,Valkyria Chronicles III: Unrecorded Chronicles,PSP,2011,Strategy,Sega,0.0,0.0,0.21,0.0,0.21
7425,WRC: FIA World Rally Championship,PS3,2010,Racing,Black Bean Games,0.0,0.15,0.01,0.05,0.21
7617,Famista 64,N64,1997,Sports,Namco Bandai Games,0.0,0.0,0.17,0.03,0.2
7650,Dead Space 3,PC,2013,Action,Electronic Arts,0.02,0.15,0.0,0.02,0.2
7722,Test Drive Unlimited 2,PC,2011,Racing,Atari,0.05,0.11,0.0,0.03,0.2
7910,Pet Zombies,3DS,2011,Simulation,Majesco Entertainment,0.18,0.0,0.0,0.01,0.19
7948,Star Trek: Legacy,X360,2006,Simulation,Ubisoft,0.14,0.03,0.0,0.02,0.19
8046,Trauma Team,Wii,2010,Simulation,Atlus,0.15,0.0,0.02,0.01,0.18
8088,Backbreaker,X360,2010,Sports,505 Games,0.17,0.0,0.0,0.01,0.18
8159,Twisted Metal: Small Brawl,PS,2001,Action,989 Studios,0.1,0.07,0.0,0.01,0.18
8169,Otomedius Excellent,X360,2011,Shooter,Konami,0.13,0.0,0.04,0.01,0.18
8206,NBA Starting Five,PS2,2003,Sports,Acclaim Entertainment,0.09,0.07,0.0,0.02,0.18
8225,Teen Titans,GBA,2006,Action,THQ,0.13,0.05,0.0,0.0,0.17
8315,Backbreaker,PS3,2010,Sports,505 Games,0.16,0.0,0.0,0.01,0.17
8336,James Cameron's Dark Angel,PS2,2002,Action,Universal Interactive,0.08,0.07,0.0,0.02,0.17
8378,Sword of the Samurai,PS2,2004,Fighting,Sammy Studios,0.0,0.0,0.17,0.0,0.17
8441,Splatterhouse,PS3,2010,Action,Namco Bandai Games,0.13,0.02,0.0,0.02,0.17
8555,Alone in the Dark: The New Nightmare,PS,2001,Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16
8622,Vegas Party,Wii,2007,Misc,Crave Entertainment,0.15,0.0,0.0,0.01,0.16
8709,Jurassic Park: The Game,X360,2011,Action,Telltale Games,0.15,0.0,0.0,0.01,0.16
8762,Home Run,2600,1978,Sports,Atari,0.14,0.01,0.0,0.0,0.15
8901,eJay Clubworld,PS2,2003,Misc,Empire Interactive,0.07,0.06,0.0,0.02,0.15
8931,All-Star Baseball 2005,XB,2004,Sports,Acclaim Entertainment,0.11,0.03,0.0,0.01,0.15
9083,Our House Party!,Wii,2008,Simulation,505 Games,0.13,0.0,0.0,0.01,0.14
9153,WCW Backstage Assault,N64,2000,Action,Electronic Arts,0.11,0.03,0.0,0.0,0.14
9173,Bejeweled 3,PS3,2010,Puzzle,PopCap Games,0.13,0.0,0.0,0.01,0.14
9253,Bejeweled 3,X360,2010,Puzzle,PopCap Games,0.13,0.0,0.0,0.01,0.14
9312,Disney's Cinderella: Magical Dreams,GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14
9394,Transworld Surf,XB,2001,Sports,Infogrames,0.1,0.03,0.0,0.0,0.13
9477,Street Fighter IV,PC,2009,Fighting,Capcom,0.07,0.04,0.0,0.02,0.13
9524,Nintendo Puzzle Collection,GC,2003,Puzzle,Nintendo,0.0,0.0,0.13,0.0,0.13
9669,Charm Girls Club: My Fashion Mall,DS,2010,Simulation,THQ,0.12,0.0,0.0,0.01,0.12
9694,WRC: FIA World Rally Championship,X360,2010,Racing,Black Bean Games,0.0,0.1,0.0,0.02,0.12
9744,Record of Agarest War Zero,PS3,2010,Strategy,Ghostlight,0.09,0.0,0.03,0.01,0.12
9771,Saru! Get You! Million Monkeys,PS2,2002,Platform,Sony Computer Entertainment,0.0,0.0,0.12,0.0,0.12
9817,Street Hoops,GC,2002,Sports,Activision,0.09,0.02,0.0,0.0,0.12
9822,Godzilla: Destroy All Monsters Melee,XB,2002,Fighting,Infogrames,0.09,0.03,0.0,0.0,0.12
9823,The Daring Game for Girls,DS,2010,Adventure,THQ,0.11,0.0,0.0,0.01,0.12
9842,Rocksmith,PC,2011,Misc,Ubisoft,0.06,0.04,0.0,0.01,0.12
9870,Major League Baseball 2K6,PSP,2006,Sports,2K Sports,0.11,0.0,0.0,0.01,0.12
9983,Happy Feet Two,DS,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.02,0.0,0.01,0.12
10047,Star Trek: Conquest,PS2,2007,Strategy,Bethesda Softworks,0.06,0.04,0.0,0.01,0.11
10274,GiFTPiA,GC,2003,Role-Playing,Nintendo,0.0,0.0,0.11,0.0,0.11
10364,Disney's Chicken Little: Ace In Action,Wii,2006,Shooter,Disney Interactive Studios,0.1,0.0,0.0,0.01,0.11
10467,Happy Feet Two,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.01,0.0,0.01,0.1
10561,My Healthy Cooking Coach,DS,2008,Simulation,Ubisoft,0.09,0.0,0.0,0.01,0.1
10692,Happy Feet Two,X360,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0.0,0.01,0.1
10760,Luminous Arc 2 (JP sales),DS,2008,Role-Playing,Marvelous Interactive,0.0,0.0,0.1,0.0,0.1
10794,The Daring Game for Girls,Wii,2010,Adventure,THQ,0.09,0.0,0.0,0.01,0.1
10831,Egg Monster Hero,DS,2005,Role-Playing,Square Enix,0.0,0.0,0.09,0.0,0.09
10981,Samurai Shodown Anthology,PSP,2008,Fighting,Ignition Entertainment,0.08,0.0,0.0,0.01,0.09
10999,Demon Chaos,PS2,2002,Action,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09
11110,Super Puzzle Fighter II,GBA,2003,Puzzle,Capcom,0.06,0.02,0.0,0.0,0.09
11144,Happy Feet Two,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.07,0.01,0.0,0.01,0.09
11325,Charm Girls Club: My Fashion Show,DS,2010,Simulation,THQ,0.08,0.0,0.0,0.01,0.08
11333,Get Fit with Mel B,X360,2009,Sports,Black Bean Games,0.0,0.07,0.0,0.01,0.08
11378,Face Racers: Photo Finish,3DS,2011,Racing,Majesco Entertainment,0.08,0.0,0.0,0.0,0.08
11411,Zero: Tsukihami no Kamen,Wii,2008,Action,Nintendo,0.0,0.0,0.08,0.0,0.08
11457,The Hidden,3DS,2011,Adventure,THQ,0.08,0.0,0.0,0.0,0.08
11545,Rock Revolution,Wii,2008,Misc,Konami,0.07,0.0,0.0,0.01,0.08
11575,Dead Island: Riptide,PC,2013,Action,Deep Silver,0.0,0.07,0.0,0.01,0.08
11757,Mega Man Battle Network: Operation Shooting Star,DS,2009,Role-Playing,Capcom,0.0,0.0,0.07,0.0,0.07
11800,Smashing Drive,GC,2002,Racing,Infogrames,0.06,0.01,0.0,0.0,0.07
11923,Dream Trigger 3D,3DS,2011,Shooter,D3Publisher,0.04,0.02,0.0,0.01,0.07
11940,Tornado,DS,2008,Action,Ignition Entertainment,0.07,0.0,0.0,0.0,0.07
11978,McFarlane's Evil Prophecy,PS2,2004,Action,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07
12017,Drake of the 99 Dragons,XB,2003,Shooter,Majesco Entertainment,0.05,0.01,0.0,0.0,0.07
12030,Port Royale 3,PS3,2012,Simulation,Kalypso Media,0.06,0.0,0.0,0.01,0.07
12129,Build-A-Bear Workshop: Friendship Valley,Wii,2009,Misc,The Game Factory,0.06,0.0,0.0,0.0,0.07
12131,Alex Rider: Stormbreaker,DS,2006,Action,THQ,0.06,0.0,0.0,0.0,0.07
12137,Yoostar on MTV,X360,2010,Misc,Ubisoft,0.06,0.0,0.0,0.0,0.07
12186,Rayman Arena,XB,2001,Racing,Ubisoft,0.05,0.01,0.0,0.0,0.07
12214,National Geographic Challenge!,X360,2011,Misc,Unknown,0.06,0.0,0.0,0.0,0.07
12240,Port Royale 3,X360,2012,Simulation,Kalypso Media,0.06,0.0,0.0,0.0,0.07
12250,Jewel Link Chronicles: Mountains of Madness,DS,2010,Puzzle,Avanquest,0.0,0.06,0.0,0.01,0.06
12533,Combat Elite: WWII Paratroopers,PS2,2003,Shooter,SouthPeak Games,0.03,0.02,0.0,0.01,0.06
12628,Captain America: Super Soldier,Wii,2011,Action,Sega,0.05,0.0,0.0,0.0,0.06
12668,Flip's Twisted World,Wii,2010,Platform,Majesco Entertainment,0.05,0.0,0.0,0.0,0.06
12711,Mobile Ops: The One Year War,X360,2008,Simulation,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
12751,Tom Clancy's Rainbow Six: Critical Hour,XB,2006,Shooter,Ubisoft,0.04,0.01,0.0,0.0,0.06
12809,GRID,DS,2008,Racing,Codemasters,0.04,0.01,0.0,0.0,0.06
12827,Captain America: Super Soldier,DS,2011,Action,Sega,0.05,0.0,0.0,0.0,0.05
12881,Reader Rabbit 2nd Grade,Wii,2008,Misc,Unknown,0.05,0.0,0.0,0.0,0.05
12917,Mountain Bike Adrenaline,PS2,2003,Sports,Codemasters,0.03,0.02,0.0,0.01,0.05
12924,Tour de France 2011,X360,2011,Racing,Focus Home Interactive,0.0,0.05,0.0,0.01,0.05
12931,Drill Dozer,GBA,2005,Platform,Nintendo,0.04,0.01,0.0,0.0,0.05
13057,Battle vs. Chess,PS3,2011,Misc,TopWare Interactive,0.0,0.04,0.0,0.01,0.05
13158,The History Channel: Great Battles - Medieval,PS3,2010,Strategy,Slitherine Software,0.0,0.04,0.0,0.01,0.05
13479,RollerCoaster Tycoon,PC,1999,Strategy,Hasbro Interactive,0.02,0.02,0.0,0.01,0.04
13667,GRID,PC,2008,Racing,Codemasters,0.0,0.03,0.0,0.01,0.04
13677,Luxor: Pharaoh's Challenge,Wii,2007,Puzzle,MumboJumbo,0.01,0.03,0.0,0.0,0.04
13735,NHL Hitz Pro,GC,2003,Sports,Midway Games,0.03,0.01,0.0,0.0,0.04
13872,Sega Rally 2006,PS2,2006,Racing,Sega,0.0,0.0,0.04,0.0,0.04
14048,Swords,Wii,2009,Fighting,UFO Interactive,0.03,0.0,0.0,0.0,0.04
14057,Half-Minute Hero 2,PSP,2011,Role-Playing,Rising Star Games,0.0,0.0,0.04,0.0,0.04
14058,Clockwork Empires,PC,2015,Strategy,Unknown,0.0,0.03,0.0,0.0,0.04
14100,Major League Baseball 2K8,PSP,2008,Sports,2K Sports,0.03,0.0,0.0,0.0,0.03
14162,Sabre Wulf,GBA,2004,Platform,THQ,0.02,0.01,0.0,0.0,0.03
14276,Beyond the Labyrinth,3DS,2011,Role-Playing,Konami,0.0,0.0,0.03,0.0,0.03
14315,Majesty 2: The Fantasy Kingdom Sim,X360,2009,Simulation,Paradox Interactive,0.03,0.0,0.0,0.0,0.03
14380,Fullmetal Alchemist: Brotherhood,PSP,2010,Action,Square Enix,0.0,0.0,0.03,0.0,0.03
14476,Combat Elite: WWII Paratroopers,XB,2003,Shooter,SouthPeak Games,0.02,0.01,0.0,0.0,0.03
14525,Samurai Spirits: Tenkaichi Kenkakuden,PS2,2003,Fighting,SNK Playmore,0.0,0.0,0.03,0.0,0.03
14586,Battle vs. Chess,PC,2011,Misc,TopWare Interactive,0.0,0.02,0.0,0.01,0.03
14679,Tom and Jerry in War of the Whiskers,XB,2002,Fighting,NewKidCo,0.02,0.01,0.0,0.0,0.03
14699,Super Duper Sumos,GBA,2002,Action,Telegames,0.02,0.01,0.0,0.0,0.03
14852,Legacy of Ys: Books I & II,DS,2008,Role-Playing,Atlus,0.02,0.0,0.0,0.0,0.03
14858,The King of Fighters: Maximum Impact - Maniax,XB,2004,Fighting,SNK Playmore,0.02,0.01,0.0,0.0,0.03
14879,Combat Wings: The Great Battles of WWII,Wii,2009,Simulation,City Interactive,0.02,0.0,0.0,0.0,0.03
14928,Tube Slider,GC,2003,Racing,Namco,0.02,0.0,0.0,0.0,0.02
15000,Wii de Asobu: Metroid Prime,Wii,2009,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02
15001,Payout Poker & Casino,PSP,2006,Misc,Crave Entertainment,0.02,0.0,0.0,0.0,0.02
15002,Wii de Asobu: Metroid Prime,Wii,2009,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02
15200,Saint,Wii,2010,Shooter,Unknown,0.02,0.0,0.0,0.0,0.02
15211,Steal Princess,DS,2009,Platform,Unknown,0.02,0.0,0.0,0.0,0.02
15319,Runaway: A Twist of Fate,DS,2010,Adventure,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02
15479,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,2009,Racing,Konami,0.0,0.0,0.02,0.0,0.02
15582,Cabela's Alaskan Adventure,PS2,2006,Sports,Activision,0.01,0.01,0.0,0.0,0.02
15609,Writing and Speaking Beautiful Japanese DS,DS,2008,Misc,Nintendo,0.0,0.0,0.02,0.0,0.02
15655,Virtua Quest,PS2,2005,Role-Playing,Sega,0.01,0.01,0.0,0.0,0.02
15700,Shonen Jump's Yu-Yu Hakusho: Tournament Tactics,DS,2004,Misc,Atari,0.0,0.0,0.02,0.0,0.02
15720,Without Warning,XB,2005,Shooter,Capcom,0.01,0.0,0.0,0.0,0.02
15742,Football Manager 2007,X360,2006,Sports,Sega,0.0,0.01,0.0,0.0,0.02
15814,Ferrari: The Race Experience,Wii,2010,Racing,System 3 Arcade Software,0.0,0.01,0.0,0.0,0.02
15868,PDC World Championship Darts 2008,DS,2008,Sports,Unknown,0.01,0.0,0.0,0.0,0.02
15879,Dinotopia: The Sunstone Odyssey,GC,2003,Action,TDK Mediactive,0.01,0.0,0.0,0.0,0.02
15881,Dance! It's Your Stage,Wii,2009,Misc,DTP Entertainment,0.0,0.01,0.0,0.0,0.02
15903,Jet Impulse,DS,2005,Simulation,Nintendo,0.0,0.0,0.02,0.0,0.02
16060,PDC World Championship Darts 2008,PSP,2008,Sports,Oxygen Interactive,0.01,0.0,0.0,0.0,0.01
16061,WRC: FIA World Rally Championship,PC,2010,Racing,Black Bean Games,0.0,0.01,0.0,0.0,0.01
16068,Aquaman: Battle for Atlantis,XB,2003,Action,TDK Mediactive,0.01,0.0,0.0,0.0,0.01
16197,Shorts,DS,2009,Platform,Unknown,0.01,0.0,0.0,0.0,0.01
16249,Agarest Senki: Re-appearance,PS3,2010,Role-Playing,Idea Factory,0.0,0.0,0.01,0.0,0.01
16310,Freaky Flyers,GC,2003,Racing,Midway Games,0.01,0.0,0.0,0.0,0.01
16330,Inversion,PC,2012,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01
16369,Hakuouki: Shinsengumi Kitan,PS3,2008,Adventure,Idea Factory,0.01,0.0,0.0,0.0,0.01
16430,Virtua Quest,GC,2005,Role-Playing,Sega,0.01,0.0,0.0,0.0,0.01
16496,The Smurfs,3DS,2011,Action,Ubisoft,0.0,0.01,0.0,0.0,0.01
